emission,packing_cells_per_mm2,sigma_um,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive
nbinom,2575.0,1.0,0.9296582334664891,0.9046959609409676,0.024962272525521523,True
nbinom,2575.0,2.0,0.8760120159724512,0.828955562882368,0.047056453090083106,True
nbinom,2575.0,4.0,0.7647001765379169,0.6809707645449784,0.08372941199293849,True
nbinom,2575.0,8.0,0.5720662248639293,0.44086903053904486,0.13119719432488447,True
nbinom,6000.0,1.0,0.9014794225768852,0.8650407961983323,0.036438626378552885,True
nbinom,6000.0,2.0,0.8261357156434138,0.7540391560539821,0.07209655958943173,True
nbinom,6000.0,4.0,0.6562546356142321,0.5467587785288944,0.10949585708533771,True
nbinom,6000.0,8.0,0.40589232725731245,0.27387134378974143,0.13202098346757102,True
nbinom,13625.0,1.0,0.8628781453208935,0.8086137027612854,0.05426444255960805,True
nbinom,13625.0,2.0,0.732983870967742,0.6411491935483871,0.09183467741935492,True
nbinom,13625.0,4.0,0.5138624878297556,0.3842319996290973,0.1296304882006583,True
nbinom,13625.0,8.0,0.2666551724137931,0.14872413793103448,0.11793103448275863,True
poisson,2575.0,1.0,0.9271059275326246,0.9045443231518686,0.02256160438075594,True
poisson,2575.0,2.0,0.8727330220792024,0.8293744536001935,0.043358568479008985,True
poisson,2575.0,4.0,0.771990519515272,0.6875262815856875,0.08446423792958446,True
poisson,2575.0,8.0,0.5555758183641835,0.4312938816449348,0.12428193671924864,True
poisson,6000.0,1.0,0.9013502292501534,0.8655005595869887,0.03584966966316472,True
poisson,6000.0,2.0,0.8181749351706384,0.75495447748481,0.0632204576858284,True
poisson,6000.0,4.0,0.6528134485173943,0.5425466431770424,0.11026680534035194,True
poisson,6000.0,8.0,0.4164565023563877,0.272907909820405,0.14354859253598268,True
poisson,13625.0,1.0,0.8580847022013632,0.8099228964130071,0.04816180578835616,True
poisson,13625.0,2.0,0.7314031790775977,0.6414141414141414,0.08998903766345623,True
poisson,13625.0,4.0,0.5207766070794365,0.38645673020007104,0.13431987687936547,True
poisson,13625.0,8.0,0.2758478223446376,0.1542434153899122,0.12160440695472541,True
