method,mode,config,best_config,runtime_s,status,error,acc_one_to_one,acc_many_to_one,ari,n_pred_cells,n_true_cells,pred_true_ratio,frac_assigned,n_interior_transcripts
Baysor,nuclei_prior,dense_sigma1.43,scale1.25x_m50_c0.8,53.057661294937134,ok,,0.7185192609668906,0.7479202164979453,0.573416459384917,260,190,1.368421052631579,1.0,29931
Proseg,nuclei_prior,dense_sigma1.43,priorreassign0.7,13.526546239852903,ok,,0.6171527847382313,0.628144732885637,0.1158828756349441,248,190,1.305263157894737,0.8263673114830777,29931
Baysor,nuclei_prior,dense_sigma1.99,scale1.25x_m50_c0.8,53.41785645484924,ok,,0.6336497501090128,0.6656156710159997,0.4694928627754663,260,182,1.4285714285714286,1.0,29813
Proseg,nuclei_prior,dense_sigma1.99,priorreassign0.7,13.740695238113403,ok,,0.5642840371649951,0.57770100291819,0.0927525508296783,245,182,1.3461538461538465,0.8142421091470164,29813
Baysor,nuclei_prior,dense_sigma2.63,scale1.25x_m50_c0.8,53.19521498680115,ok,,0.5398341013824884,0.5808663594470046,0.3731486828745892,254,168,1.511904761904762,1.0,27125
Proseg,nuclei_prior,dense_sigma2.63,priorreassign0.7,17.72431230545044,ok,,0.4797419354838709,0.4999447004608295,0.068160842535622,240,168,1.4285714285714286,0.7976405529953917,27125
Baysor,nuclei_prior,sparse_sigma1.99,scale1.25x_m50_c0.8,52.20402765274048,ok,,0.7242391564821471,0.7485621854780733,0.6329273083372191,245,203,1.206896551724138,1.0,33384
Proseg,nuclei_prior,sparse_sigma1.99,priorreassign0.7,29.60549831390381,ok,,0.6349149293074526,0.6380601485741673,0.0621705258232262,243,203,1.1970443349753694,0.7400551162233405,33384
Baysor,nuclei_prior,representative_sigma1.99,scale1.25x_m50_c0.8,51.70039129257202,ok,,0.7068393517927779,0.7352303177236187,0.5696538803533291,266,193,1.378238341968912,1.0,31348
Proseg,nuclei_prior,representative_sigma1.99,priorreassign0.7,23.197686433792114,ok,,0.6592127089447493,0.6713984943218068,0.1550108100606719,249,193,1.2901554404145077,0.8457317851218579,31348
oracle,reference,dense_sigma1.43,,0.0,ok,,0.8025124452908355,0.8143396478567372,0.6688524053368978,246,190,1.2947368421052632,1.0,29931
naive,reference,dense_sigma1.43,,0.0,ok,,0.7307807958304099,0.7462831178376934,0.5642378463987912,246,190,1.2947368421052632,1.0,29931
ComSeg,nuclei_prior,dense_sigma1.43,mcd12,180.97309684753418,ok,,0.7221275600547927,0.7374294210016371,0.5569522843558112,244,190,1.2842105263157895,0.9975944672747319,29931
oracle,reference,dense_sigma1.99,,0.0,ok,,0.7298158521450374,0.7457149565625734,0.5677162794389575,246,182,1.3516483516483517,1.0,29813
naive,reference,dense_sigma1.99,,0.0,ok,,0.638513400194546,0.6587059336531044,0.45173297374779325,243,182,1.335164835164835,1.0,29813
ComSeg,nuclei_prior,dense_sigma1.99,mcd12,238.8308436870575,ok,,0.6347231073692684,0.6549156408278268,0.44799092411668223,243,182,1.335164835164835,0.9959078254452756,29813
oracle,reference,dense_sigma2.63,,0.0,ok,,0.6505069124423963,0.672294930875576,0.4673416937958326,237,168,1.4107142857142858,1.0,27125
naive,reference,dense_sigma2.63,,0.0,ok,,0.5455483870967742,0.5718341013824885,0.35404350789787153,236,168,1.4047619047619047,1.0,27125
ComSeg,nuclei_prior,dense_sigma2.63,mcd12,211.027361869812,ok,,0.5404976958525346,0.567741935483871,0.3523879955089982,234,168,1.3928571428571428,0.9970875576036866,27125
oracle,reference,sparse_sigma1.99,,0.0,ok,,0.8817697100407381,0.88794033069734,0.7909549940903459,246,203,1.2118226600985222,1.0,33384
naive,reference,sparse_sigma1.99,,0.0,ok,,0.8333333333333334,0.8427689911334771,0.710798866541794,250,203,1.2315270935960592,1.0,33384
ComSeg,nuclei_prior,sparse_sigma1.99,mcd12,263.81648540496826,ok,,0.7682722262161514,0.7812125569134915,0.6297992677550934,248,203,1.2216748768472907,0.9819973640067098,33384
oracle,reference,representative_sigma1.99,,0.0,ok,,0.808345029985964,0.8185530177363787,0.6768806823334532,248,193,1.2849740932642486,1.0,31348
naive,reference,representative_sigma1.99,,0.0,ok,,0.7413870103355876,0.7558695929564885,0.5779229743442181,247,193,1.2797927461139897,1.0,31348
ComSeg,nuclei_prior,representative_sigma1.99,mcd12,112.13670301437378,ok,,0.7242248309302028,0.7405895112925864,0.5645577396738045,244,193,1.2642487046632125,0.9987559014929183,31348
